Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Oklahoma,Both,All Ages,1999,2017,Suicide Firearm,2001,332,3467100,9.58,9.474670464
Both Sexes,All Races,Oregon,Both,All Ages,1999,2017,Suicide Firearm,2001,280,3467937,8.07,7.927575559
Both Sexes,All Races,Pennsylvania,Both,All Ages,1999,2017,Suicide Firearm,2001,684,12298970,5.56,5.373609687
Both Sexes,All Races,Rhode Island,Both,All Ages,1999,2017,Suicide Firearm,2001,25,1057142,2.36,2.279214396
Both Sexes,All Races,South Carolina,Both,All Ages,1999,2017,Suicide Firearm,2001,311,4064995,7.65,7.577814771
Both Sexes,All Races,South Dakota,Both,All Ages,1999,2017,Suicide Firearm,2001,43,757972,5.67,5.640610952
Both Sexes,All Races,Tennessee,Both,All Ages,1999,2017,Suicide Firearm,2001,480,5750789,8.35,8.235289379
Both Sexes,All Races,Texas,Both,All Ages,1999,2017,Suicide Firearm,2001,1377,21319622,6.46,6.850931858
Both Sexes,All Races,Utah,Both,All Ages,1999,2017,Suicide Firearm,2001,182,2283715,7.97,8.934771252
Both Sexes,All Races,Vermont,Both,All Ages,1999,2017,Suicide Firearm,2001,42,612223,6.86,6.763657615
Both Sexes,All Races,Virginia,Both,All Ages,1999,2017,Suicide Firearm,2001,467,7198362,6.49,6.479850663
Both Sexes,All Races,Washington,Both,All Ages,1999,2017,Suicide Firearm,2001,391,5985722,6.53,6.571802395
Both Sexes,All Races,West Virginia,Both,All Ages,1999,2017,Suicide Firearm,2001,195,1801481,10.82,10.08502746
Both Sexes,All Races,Wisconsin,Both,All Ages,1999,2017,Suicide Firearm,2001,317,5406835,5.86,5.789642339
Both Sexes,All Races,Wyoming,Both,All Ages,1999,2017,Suicide Firearm,2001,61,494657,12.33,12.00954281
Both Sexes,All Races,,Both,All Ages,1999,2017,Suicide Firearm,2001,16869,284968955,5.92,.
Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Suicide Firearm,2002,381,4480089,8.5,8.441668951
Both Sexes,All Races,Alaska,Both,All Ages,1999,2017,Suicide Firearm,2002,92,642337,14.32,14.79252609
Both Sexes,All Races,Arizona,Both,All Ages,1999,2017,Suicide Firearm,2002,559,5396255,10.36,10.39769801
Both Sexes,All Races,Arkansas,Both,All Ages,1999,2017,Suicide Firearm,2002,257,2705927,9.5,9.429995907
Both Sexes,All Races,California,Both,All Ages,1999,2017,Suicide Firearm,2002,1490,34871843,4.27,4.501102918
Both Sexes,All Races,Colorado,Both,All Ages,1999,2017,Suicide Firearm,2002,380,4490406,8.46,8.519190424
Both Sexes,All Races,Connecticut,Both,All Ages,1999,2017,Suicide Firearm,2002,85,3458749,2.46,2.363600393
Both Sexes,All Races,Delaware,Both,All Ages,1999,2017,Suicide Firearm,2002,38,806169,4.71,4.626440322
Both Sexes,All Races,District of Columbia,Both,All Ages,1999,2017,Suicide Firearm,2002,13,573158,2.27,2.135628409
Both Sexes,All Races,Florida,Both,All Ages,1999,2017,Suicide Firearm,2002,1205,16689370,7.22,6.687910744
Both Sexes,All Races,Georgia,Both,All Ages,1999,2017,Suicide Firearm,2002,614,8508256,7.22,7.578536348
Both Sexes,All Races,Hawaii,Both,All Ages,1999,2017,Suicide Firearm,2002,21,1239613,1.69,1.585840392
Both Sexes,All Races,Idaho,Both,All Ages,1999,2017,Suicide Firearm,2002,137,1340372,10.22,10.53448732
Both Sexes,All Races,Illinois,Both,All Ages,1999,2017,Suicide Firearm,2002,466,12525556,3.72,3.725759044
Both Sexes,All Races,Indiana,Both,All Ages,1999,2017,Suicide Firearm,2002,448,6155967,7.28,7.268792632
Both Sexes,All Races,Iowa,Both,All Ages,1999,2017,Suicide Firearm,2002,157,2934234,5.35,5.247342404
Both Sexes,All Races,Kansas,Both,All Ages,1999,2017,Suicide Firearm,2002,184,2713535,6.78,6.640841304
Both Sexes,All Races,Kentucky,Both,All Ages,1999,2017,Suicide Firearm,2002,364,4089875,8.9,8.713903898
Both Sexes,All Races,Louisiana,Both,All Ages,1999,2017,Suicide Firearm,2002,349,4497267,7.76,7.820885567
Both Sexes,All Races,Maine,Both,All Ages,1999,2017,Suicide Firearm,2002,79,1295960,6.1,5.91832812
Both Sexes,All Races,Maryland,Both,All Ages,1999,2017,Suicide Firearm,2002,233,5440389,4.28,4.33717346
Both Sexes,All Races,Massachusetts,Both,All Ages,1999,2017,Suicide Firearm,2002,99,6417206,1.54,1.479903289
Both Sexes,All Races,Michigan,Both,All Ages,1999,2017,Suicide Firearm,2002,578,10015710,5.77,5.787718224
Both Sexes,All Races,Minnesota,Both,All Ages,1999,2017,Suicide Firearm,2002,238,5018935,4.74,4.725408985
Both Sexes,All Races,Mississippi,Both,All Ages,1999,2017,Suicide Firearm,2002,254,2858681,8.89,8.989609678
Both Sexes,All Races,Missouri,Both,All Ages,1999,2017,Suicide Firearm,2002,423,5674825,7.45,7.342582568
Both Sexes,All Races,Montana,Both,All Ages,1999,2017,Suicide Firearm,2002,115,911667,12.61,12.5241118
Both Sexes,All Races,Nebraska,Both,All Ages,1999,2017,Suicide Firearm,2002,105,1728292,6.08,6.000136019
Both Sexes,All Races,Nevada,Both,All Ages,1999,2017,Suicide Firearm,2002,245,2173791,11.27,11.34594349
Both Sexes,All Races,New Hampshire,Both,All Ages,1999,2017,Suicide Firearm,2002,66,1269089,5.2,5.119466029
Both Sexes,All Races,New Jersey,Both,All Ages,1999,2017,Suicide Firearm,2002,176,8552643,2.06,1.986621042
Both Sexes,All Races,New Mexico,Both,All Ages,1999,2017,Suicide Firearm,2002,211,1855309,11.37,11.59701252
Both Sexes,All Races,New York,Both,All Ages,1999,2017,Suicide Firearm,2002,411,19137800,2.15,2.102644185
Both Sexes,All Races,North Carolina,Both,All Ages,1999,2017,Suicide Firearm,2002,630,8326201,7.57,7.506600028
Both Sexes,All Races,North Dakota,Both,All Ages,1999,2017,Suicide Firearm,2002,53,638168,8.31,8.311118014
Both Sexes,All Races,Ohio,Both,All Ages,1999,2017,Suicide Firearm,2002,675,11407889,5.92,5.803886513
Both Sexes,All Races,Oklahoma,Both,All Ages,1999,2017,Suicide Firearm,2002,312,3489080,8.94,8.850498286
Both Sexes,All Races,Oregon,Both,All Ages,1999,2017,Suicide Firearm,2002,291,3513424,8.28,8.089861084
