"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","350","8078824","4.33","4.27524713152035"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","33","641183","5.15","5.08952427246825"
"Both Sexes","All Races","Ohio","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","504","11363719","4.44","4.42413585254445"
"Both Sexes","All Races","Oklahoma","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","196","3453861","5.67","5.82610795892942"
"Both Sexes","All Races","Oregon","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","191","3430828","5.57","5.48384710945102"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","600","12285041","4.88","4.85984052995415"
"Both Sexes","All Races","Rhode Island","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","48","1050725","4.57","4.51589502390266"
"Both Sexes","All Races","South Carolina","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","146","4023396","3.63","3.62102775228354"
"Both Sexes","All Races","South Dakota","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","44","755657","5.82","5.77731398252182"
"Both Sexes","All Races","Tennessee","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","229","5703094","4.02","3.96445848225114"
"Both Sexes","All Races","Texas","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","784","20946049","3.74","3.77369152390184"
"Both Sexes","All Races","Utah","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","124","2244210","5.53","5.67668052863486"
"Both Sexes","All Races","Vermont","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","30","609876","4.92","4.7946793457947"
"Both Sexes","All Races","Virginia","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","284","7104354","4","3.93799711812905"
"Both Sexes","All Races","Washington","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","337","5911104","5.7","5.62649104998039"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","72","1806977","3.98","3.93094186284528"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","286","5374133","5.32","5.29112077166853"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","33","493963","6.68","6.70041772458843"
"Both Sexes","All Races","","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","12764","282171936","4.52","."
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","125","4467634","2.8","2.81058376077915"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","37","633714","5.84","5.58640053045181"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","299","5273477","5.67","5.79245042686635"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","108","2691571","4.01","4.14295160145447"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","1381","34479458","4.01","4.04378788878896"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","332","4425687","7.5","7.3768394157633"
